City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
421,banepa,27.6298,85.5214,12.29,88,75,1.54,NP,1679078349
422,yuanping,38.7153,112.7575,2.27,39,1,2.72,CN,1679078350
423,oyama,36.3,139.8,10.88,89,100,3.78,JP,1679078350
424,kichera,55.9375,110.0997,-13.33,86,63,1.25,RU,1679078351
425,aksu,41.1231,80.2644,9.14,37,14,3.52,CN,1679078231
426,kushima,31.4583,131.2333,14.35,97,100,3.1,JP,1679078352
427,bilma,18.6853,12.9164,28.02,9,0,4.01,NE,1679078352
428,osinki,52.8432,49.5132,5.07,71,48,2.89,RU,1679078352
429,nantucket,41.2835,-70.0995,8.03,79,100,7.72,US,1679078353
430,neverkino,52.7854,46.7417,4.86,89,100,3.16,RU,1679078353
431,achit,56.7985,57.8994,0.06,84,100,3.51,RU,1679078354
432,benevides,-1.3614,-48.2447,28.89,99,100,0.82,BR,1679078354
433,erenhot,43.6475,111.9767,-3.28,37,0,4.01,CN,1679078355
434,esmeraldas,-19.7625,-44.3139,30.06,75,93,2.68,BR,1679078355
435,moncton,46.1159,-64.8019,4.47,70,75,3.09,CA,1679078217
436,saint-pierre,-21.3393,55.4781,26.06,61,0,2.57,RE,1679078356
437,bonthe,7.5264,-12.505,26.18,72,41,4.83,SL,1679078356
438,fallon,39.4735,-118.7774,9.95,44,0,0.0,US,1679078357
439,hamilton,39.1834,-84.5333,2.69,93,100,8.75,US,1679078357
440,guarapari,-20.6667,-40.4975,26.61,75,25,3.44,BR,1679078358
441,ahtopol,42.1,27.95,7.35,76,99,5.15,BG,1679078359
442,mount gambier,-37.8333,140.7667,24.02,41,97,7.22,AU,1679078359
443,devils lake,48.1128,-98.8651,-15.94,79,75,9.77,US,1679078359
444,navoi,40.0844,65.3792,15.71,55,100,9.26,UZ,1679078360
445,boa vista,2.8197,-60.6733,33.99,40,40,4.63,BR,1679078360
446,winchester,51.0651,-1.3187,12.76,81,40,4.12,GB,1679078361
447,yei,4.095,30.6779,20.59,95,100,1.44,SS,1679078361
448,cap malheureux,-19.9842,57.6142,26.93,81,100,2.24,MU,1679078362
449,nizhniy tsasuchey,50.5167,115.1333,-7.69,80,15,3.24,RU,1679078362
450,fort saint james,54.4333,-124.25,-1.71,91,100,1.37,CA,1679078363
451,hirara,24.8,125.2833,22.92,88,75,3.6,JP,1679078363
452,mareeba,-17.0,145.4333,23.4,89,98,0.68,AU,1679078364
453,semey,50.4111,80.2275,-1.14,94,100,3.12,KZ,1679078364
454,abu dhabi,24.4667,54.3667,25.53,63,0,2.57,AE,1679078243
455,hailar,49.2,119.7,-13.74,92,6,2.77,CN,1679078101
456,kennewick,46.2113,-119.1372,12.12,56,0,1.34,US,1679078365
457,clinton,42.587,-82.9199,6.06,70,75,10.29,US,1679078365
458,mogadishu,2.0371,45.3438,27.38,81,100,5.93,SO,1679078146
459,hambantota,6.1241,81.1185,26.19,100,20,1.54,LK,1679078366
460,nouadhibou,20.931,-17.0347,21.99,68,0,8.23,MR,1679078367
461,praia da vitoria,38.7333,-27.0667,19.14,72,20,5.47,PT,1679078367
462,zhigalovo,54.8097,105.1578,-4.87,97,94,1.46,RU,1679078367
463,havoysund,70.9963,24.6622,-6.87,67,40,3.88,NO,1679078368
464,muromtsevo,56.3724,75.2418,-6.2,92,18,4.1,RU,1679078368
465,bellegarde-sur-valserine,46.1079,5.8242,14.34,74,34,1.78,FR,1679078369
466,oussouye,12.485,-16.5469,30.1,63,98,5.94,SN,1679078369
467,whitianga,-36.8333,175.7,18.85,93,92,3.07,NZ,1679078369
468,fukue,32.6881,128.8419,12.85,85,100,10.29,JP,1679078370
469,yelanskiy,56.8419,62.5014,0.66,82,91,3.14,RU,1679078370
470,bayeux,-7.125,-34.9322,29.35,70,40,4.12,BR,1679078371
471,nortelandia,-14.4547,-56.8028,27.49,69,87,2.7,BR,1679078371
472,alekseyevsk,57.8406,108.3492,-3.69,93,55,4.53,RU,1679078372
473,ushirombo,-3.4919,31.9639,17.57,97,100,2.28,TZ,1679078372
474,scottsbluff,41.8666,-103.6672,4.13,30,20,14.92,US,1679078372
475,lahat,-3.8,103.5333,22.25,98,92,0.78,ID,1679078373
476,cadereyta,25.5833,-99.9833,17.88,43,76,4.61,MX,1679078373
477,nipawin,53.3668,-104.0009,-14.98,78,0,1.54,CA,1679078374
478,vila franca do campo,37.7167,-25.4333,15.71,86,99,3.98,PT,1679078355
479,madera,37.1666,-119.8343,19.31,90,0,2.06,US,1679078374
480,irbeyskoye,55.6428,95.4522,1.46,85,100,2.26,RU,1679078375
481,hami,42.8,93.45,9.4,27,90,5.45,CN,1679078375
482,asau,46.4333,26.4,-0.4,56,49,1.99,RO,1679078375
483,aswan,24.0934,32.907,25.61,14,0,2.06,EG,1679078376
484,belvidere,42.2639,-88.8443,-0.62,78,13,9.39,US,1679078265
485,khunti,23.0833,85.2833,20.06,56,49,1.67,IN,1679078376
486,saint-ambroise,48.5501,-71.3324,6.3,41,100,2.57,CA,1679078377
487,casselman,45.3168,-75.0826,2.88,87,100,4.12,CA,1679078377
488,pangkalanbuun,-2.6833,111.6167,23.39,97,100,0.95,ID,1679078378
489,fairbanks,64.8378,-147.7164,-12.88,73,75,1.54,US,1679078100
490,teeli,51.0333,90.2333,-8.57,93,100,1.35,RU,1679078378
491,chardara,41.2547,67.9692,10.05,55,0,5.49,KZ,1679078379
492,chuncheng,22.1731,111.7886,20.0,83,0,1.03,CN,1679078380
493,taranagar,28.6709,75.0351,20.36,62,35,2.06,IN,1679078380
494,mgandu,-5.95,34.1333,16.65,91,97,2.54,TZ,1679078382
495,maragogi,-9.0122,-35.2225,27.97,68,76,5.14,BR,1679078180
496,boke,10.9409,-14.2967,30.06,43,18,4.72,GN,1679078383
497,margate,51.3813,1.3862,10.39,90,99,0.89,GB,1679078383
498,tual,-5.6667,132.75,28.37,73,38,3.46,ID,1679078383
499,muravlenko,63.7898,74.523,-0.2,97,100,8.1,RU,1679078384
500,saint-gabriel,46.3001,-73.3824,2.45,100,100,3.28,CA,1679078384
501,tairua,-37.0167,175.85,18.81,91,80,2.56,NZ,1679078385
502,kyra,49.5776,111.9753,-11.91,89,5,2.28,RU,1679078385
503,notre-dame-du-lac,47.6136,-68.7964,0.73,99,100,3.11,CA,1679078386
504,meulaboh,4.1363,96.1285,25.43,86,92,1.06,ID,1679078386
505,kvarkeno,52.0833,59.725,-8.53,83,9,2.34,RU,1679078387
506,greenfield,42.9614,-88.0126,0.81,69,75,10.29,US,1679078387
507,churapcha,62.0025,132.4325,-14.45,98,100,2.78,RU,1679078388
508,tianpeng,30.9866,103.9393,14.26,90,100,2.73,CN,1679078388
509,kutum,14.2,24.6667,25.02,13,15,2.9,SD,1679078388
510,port macquarie,-31.4333,152.9167,17.72,93,10,1.81,AU,1679078389
511,iquitos,-3.7481,-73.2472,33.02,62,40,3.6,PE,1679078135
512,tilichiki,60.4667,166.1,-6.75,96,100,1.86,RU,1679078390
513,batagay,67.6333,134.6333,-15.21,94,100,2.51,RU,1679078390
514,mlonggo,-6.5333,110.7,24.41,89,100,3.04,ID,1679078390
515,mandera,3.9366,41.867,30.89,47,68,3.24,KE,1679078391
516,kirakira,-10.4544,161.9205,26.4,84,100,1.88,SB,1679078391
517,san luis,-33.295,-66.3356,33.37,24,1,3.09,AR,1679078124
518,nelson bay,-32.7167,152.15,22.22,97,14,3.13,AU,1679078392
519,selimpasa,41.0558,28.379,7.75,80,100,8.88,TR,1679078392
520,isetskoye,56.4858,65.3226,-1.45,82,88,3.51,RU,1679078393
521,sept-iles,50.2001,-66.3821,2.25,64,40,5.14,CA,1679078159
522,bull savanna,17.8868,-77.5902,24.72,77,42,5.51,JM,1679078393
523,worland,44.0169,-107.9554,2.6,49,0,5.14,US,1679078394
524,kadoma,34.7333,135.5833,9.81,85,100,2.57,JP,1679078394
525,caravelas,-17.7125,-39.2481,27.58,67,14,4.27,BR,1679078394
526,olean,42.0776,-78.4297,8.38,100,100,5.66,US,1679078187
527,rio cuarto,-33.1307,-64.3499,33.71,43,20,4.63,AR,1679078395
528,lao cai,22.4833,103.95,21.63,89,60,0.65,VN,1679078395
529,huayucachi,-12.1333,-75.2333,14.86,68,100,2.58,PE,1679078396
530,xingcheng,40.6167,120.7167,2.67,69,93,2.24,CN,1679078396
531,touros,-5.1989,-35.4608,27.29,72,74,2.56,BR,1679078397
532,kerrville,30.0474,-99.1403,11.96,31,40,5.14,US,1679078397
533,susanino,58.1461,41.5872,-11.98,98,10,1.79,RU,1679078397
534,cassilandia,-19.1133,-51.7342,23.89,83,77,3.57,BR,1679078252
535,maloy,61.9353,5.1136,3.85,42,100,6.49,NO,1679078398
536,muros,42.7762,-9.0603,13.38,77,97,7.76,ES,1679078398
537,rio de janeiro,-22.9028,-43.2075,29.97,72,75,7.72,BR,1679078100
538,san estanislao,10.3983,-75.1511,30.94,48,97,1.0,CO,1679078399
539,verishen,39.5356,46.3122,5.65,86,83,1.28,AM,1679078400
540,pedernales,18.0384,-71.744,27.76,61,23,1.46,DO,1679078400
541,lakheri,25.6667,76.1667,23.64,48,90,2.15,IN,1679078401
